case_index,review_label,notes,suggested_labels,label,prediction,negative_type,negative_subtype,candidate_action_type,distance_px,distance_bucket,candidate_in_ui_element,same_element_as_gt,instruction,candidate_action_text,gt_action_text,candidate_element_text,candidate_element_type,gt_element_text,gt_element_type,image,sample_id,pair_id,candidate_action_json,gt_action_json
11,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.780886709690094, 0.8751727938652039], end_point=[0.703930139541626, 0.5807389616966248])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000514_image_encoded.png,"2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:1:shifted_coordinate:rejected","2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:1:shifted_coordinate","{""type"": ""swipe"", ""point"": [1.0031089319123163, 0.9804359517599407], ""start_point"": [0.780886709690094, 0.8751727938652039], ""end_point"": [0.703930139541626, 0.5807389616966248], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
12,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.710980236530304, 0.7032716870307922], end_point=[0.5362318158149719, 0.31634441018104553])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000515_image_encoded.png,"2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:2:shifted_coordinate:rejected","2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:2:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.9332024587525262, 0.8085348449255291], ""start_point"": [0.710980236530304, 0.7032716870307922], ""end_point"": [0.5362318158149719, 0.31634441018104553], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
13,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.602896511554718, 0.8067466616630554], end_point=[0.5204498171806335, 0.3984704911708832])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000516_image_encoded.png,"2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:3:shifted_coordinate:rejected","2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:3:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.8251187337769402, 0.9120098195577923], ""start_point"": [0.602896511554718, 0.8067466616630554], ""end_point"": [0.5204498171806335, 0.3984704911708832], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
14,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,wrong_action_type,unknown,click,,unknown,,,"Open first result and go to cart section, then Add to cart","click(point=[0.602896511554718, 0.8067466616630554])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000516_image_encoded.png,"2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:3:wrong_action_type:rejected","2143915734360772169.593-1037.Open first result and go to cart section, then Add to cart:3:wrong_action_type","{""type"": ""click"", ""point"": [0.602896511554718, 0.8067466616630554], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
15,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.5379548668861389, 0.6838699579238892], end_point=[0.6212555170059204, 0.26523640751838684])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000891_image_encoded.png,"2183602611338601744.749-1009.Open first result and go to cart section, then Add to cart:1:shifted_coordinate:rejected","2183602611338601744.749-1009.Open first result and go to cart section, then Add to cart:1:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.7601770891083611, 0.7864340604879917], ""start_point"": [0.5379548668861389, 0.6838699579238892], ""end_point"": [0.6212555170059204, 0.26523640751838684], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
16,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Open first result and go to cart section, then Add to cart","swipe(start_point=[0.6448204517364502, 0.6811079382896423], end_point=[0.6273227334022522, 0.3145942687988281])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000892_image_encoded.png,"2183602611338601744.749-1009.Open first result and go to cart section, then Add to cart:2:shifted_coordinate:rejected","2183602611338601744.749-1009.Open first result and go to cart section, then Add to cart:2:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.8670426739586724, 0.7836720408537449], ""start_point"": [0.6448204517364502, 0.6811079382896423], ""end_point"": [0.6273227334022522, 0.3145942687988281], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
17,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,"Open Amazon search bar, then type usb-a for the search and then open the first result of the search","click(point=[0.9904314620995979, 0.19713076237518407])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000057_image_encoded.png,"17578072985563353146.134-278.Open Amazon search bar, then type usb-a for the search and then open the first result of the search:2:random_coordinate:rejected","17578072985563353146.134-278.Open Amazon search bar, then type usb-a for the search and then open the first result of the search:2:random_coordinate","{""type"": ""click"", ""point"": [0.9904314620995979, 0.19713076237518407], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
18,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,Open the top first searched result of macbook pro on bestbuy website,"click(point=[0.31441764036814374, 0.544549706735109])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000150_image_encoded.png,14622758388100553349.1155-1178.Open the top first searched result of macbook pro on bestbuy website:0:shifted_coordinate:rejected,14622758388100553349.1155-1178.Open the top first searched result of macbook pro on bestbuy website:0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.31441764036814374, 0.544549706735109], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
19,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Open chrome and go to the search bar, then search for amazon","click(point=[0.3174627290831672, 0.0674758031964302])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000316_image_encoded.png,"12385824092135277522.2-202.Open chrome and go to the search bar, then search for amazon:1:shifted_coordinate:rejected","12385824092135277522.2-202.Open chrome and go to the search bar, then search for amazon:1:shifted_coordinate","{""type"": ""click"", ""point"": [0.3174627290831672, 0.0674758031964302], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
20,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Go to capchta text input and type 7hnWps, then verify code","click(point=[0.3887389600276947, 0.7435957036520305])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000457_image_encoded.png,"7162235067943412866.883-1139.Go to capchta text input and type 7hnWps, then verify code:0:shifted_coordinate:rejected","7162235067943412866.883-1139.Go to capchta text input and type 7hnWps, then verify code:0:shifted_coordinate","{""type"": ""click"", ""point"": [0.3887389600276947, 0.7435957036520305], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
21,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,same_screen_element,same_screen_element,click,,unknown,,,Select costco.com and go to search bar of costco.com,"click(point=[0.15740740299224854, 0.16140350699424744])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000556_image_encoded.png,4902561311305945027.995-1130.Select costco.com and go to search bar of costco.com:0:same_screen_element:rejected,4902561311305945027.995-1130.Select costco.com and go to search bar of costco.com:0:same_screen_element,"{""type"": ""click"", ""point"": [0.15740740299224854, 0.16140350699424744], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""negative_source"": ""same_screen_element"", ""ui_element_index"": 3, ""ui_element_text"": ""costco.com"", ""ui_element_type"": ""TEXT""}}",{}
22,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart","swipe(start_point=[0.5806558132171631, 0.8410525321960449], end_point=[0.5253089666366577, 0.18117861449718475])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000641_image_encoded.png,"6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:1:shifted_coordinate:rejected","6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:1:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.7473224798838297, 0.9243858655293783], ""start_point"": [0.5806558132171631, 0.8410525321960449], ""end_point"": [0.5253089666366577, 0.18117861449718475], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
23,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart","swipe(start_point=[0.5933310389518738, 0.7485136985778809], end_point=[0.5168356895446777, 0.24299506843090057])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000642_image_encoded.png,"6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:2:shifted_coordinate:rejected","6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:2:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.7599977056185404, 0.8318470319112142], ""start_point"": [0.5933310389518738, 0.7485136985778809], ""end_point"": [0.5168356895446777, 0.24299506843090057], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
24,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,random_coordinate,unknown,click,,unknown,,,"Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart","click(point=[0.74038846754089, 0.11705315428159459])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000643_image_encoded.png,"6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:3:random_coordinate:rejected","6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:3:random_coordinate","{""type"": ""click"", ""point"": [0.74038846754089, 0.11705315428159459], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {}}",{}
25,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,swipe,,unknown,,,"Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart","swipe(start_point=[0.5373595356941223, 0.7988802790641785], end_point=[0.4770180881023407, 0.3204541504383087])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000643_image_encoded.png,"6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:3:shifted_coordinate:rejected","6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:3:shifted_coordinate","{""type"": ""swipe"", ""point"": [0.37069286902745563, 0.7155469457308451], ""start_point"": [0.5373595356941223, 0.7988802790641785], ""end_point"": [0.4770180881023407, 0.3204541504383087], ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
26,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,"Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart","click(point=[0.6500906149546305, 0.8102387388547262])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000644_image_encoded.png,"6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:4:shifted_coordinate:rejected","6665910103612907877.1209-1374.Go to the first result related to macbook pro 13 inch and check the details of this product, then add this item to the cart:4:shifted_coordinate","{""type"": ""click"", ""point"": [0.6500906149546305, 0.8102387388547262], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
27,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,same_screen_element,same_screen_element,click,,unknown,,,Open the official website of Target,"click(point=[0.13472221791744232, 0.34861111640930176])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000661_image_encoded.png,519833799564938623.706-794.Open the official website of Target:0:same_screen_element:rejected,519833799564938623.706-794.Open the official website of Target:0:same_screen_element,"{""type"": ""click"", ""point"": [0.13472221791744232, 0.34861111640930176], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""negative_source"": ""same_screen_element"", ""ui_element_index"": 16, ""ui_element_text"": ""https://www.target."", ""ui_element_type"": ""TEXT""}}",{}
28,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,Open the official website of Target,"click(point=[0.2990335027376811, 0.47835807998975116])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000661_image_encoded.png,519833799564938623.706-794.Open the official website of Target:0:shifted_coordinate:rejected,519833799564938623.706-794.Open the official website of Target:0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.2990335027376811, 0.47835807998975116], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
29,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,Go to search bar and type usb-a,"click(point=[0.5617009235752953, 0.12048675864934921])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000675_image_encoded.png,3438643541474546178.315-434.Go to search bar and type usb-a:0:shifted_coordinate:rejected,3438643541474546178.315-434.Go to search bar and type usb-a:0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.5617009235752953, 0.12048675864934921], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
30,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,enter apple airpods in search bar on costco.com,"click(point=[296.3378224151928, 142.43175403680388])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000683_image_encoded.png,17930102842001860736.434-464.enter apple airpods in search bar on costco.com:0:shifted_coordinate:rejected,17930102842001860736.434-464.enter apple airpods in search bar on costco.com:0:shifted_coordinate,"{""type"": ""click"", ""point"": [296.3378224151928, 142.43175403680388], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""pixel"", ""metadata"": {}}",{}
31,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,same_screen_element,same_screen_element,click,,unknown,,,Add first product from results to the cart,"click(point=[0.529629647731781, 0.40877193212509155])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000706_image_encoded.png,14785945917187770933.430-578.Add first product from results to the cart :0:same_screen_element:rejected,14785945917187770933.430-578.Add first product from results to the cart :0:same_screen_element,"{""type"": ""click"", ""point"": [0.529629647731781, 0.40877193212509155], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""negative_source"": ""same_screen_element"", ""ui_element_index"": 27, ""ui_element_text"": """", ""ui_element_type"": ""ICON_STAR""}}",{}
32,,,label_noise|ambiguous_alternative|same_functional_region|semantic_hard_negative|swipe_uncertain|true_clean_negative,No,Yes,shifted_coordinate,unknown,click,,unknown,,,Add first product from results to the cart,"click(point=[0.5539862381087409, 0.505334989020699])",,,,,,/root/autodl-tmp/GUI-PRM/data/raw/aitw_single/images_unseen_subject_train_1000/000706_image_encoded.png,14785945917187770933.430-578.Add first product from results to the cart :0:shifted_coordinate:rejected,14785945917187770933.430-578.Add first product from results to the cart :0:shifted_coordinate,"{""type"": ""click"", ""point"": [0.5539862381087409, 0.505334989020699], ""start_point"": null, ""end_point"": null, ""text"": null, ""direction"": null, ""coordinate_space"": ""normalized_1"", ""metadata"": {""aitw_action_type"": 4}}",{}
